image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
6552, 127.44433689117432, 1.049595832824707, 490309, 427719, 918028, 122, 0.06554884149025571, 99956, 1944.265283622439, 1816.8209467312647, 0.0005838848467656366
6606, 128.4900417327881, 1.0457048416137695, 489709, 425504, 915213, 123, 0.06608907919484573, 99956, 1944.1947640694166, 1815.7047223366285, 0.0006143832702085739
6660, 129.53068661689758, 1.040644884109497, 489151, 423284, 912435, 124, 0.06662931689943576, 99956, 1944.04944616796, 1814.5187595510624, 0.0006531694118412368
6714, 130.56752133369446, 1.036834716796875, 488480, 421101, 909581, 125, 0.06716955460402577, 99956, 1943.84974120208, 1813.2822198683855, 0.0006814697705207484
6768, 131.61202716827393, 1.0445058345794678, 488083, 418940, 907022, 126, 0.06770979230861579, 99956, 1943.7665170851046, 1812.1544899168307, 0.0006219274303790323
6822, 132.65556526184082, 1.0435380935668945, 487619, 416869, 904488, 127, 0.06825003001320581, 99956, 1943.6704311510643, 1811.0148658892235, 0.0006288779648470078
6876, 133.70294070243835, 1.0473754405975342, 487163, 414805, 901968, 128, 0.06879026771779582, 99956, 1943.6316377040328, 1809.9286970015944, 0.0005997570246867312
6930, 134.74966979026794, 1.0467290878295898, 486985, 412812, 899797, 129, 0.06933050542238585, 99956, 1943.5841260542602, 1808.8344562639923, 0.000604576710350524
6984, 135.79412007331848, 1.044450283050537, 486638, 410762, 897400, 130, 0.06987074312697587, 99956, 1943.5047345430444, 1807.710614469726, 0.000621307157420925
7038, 136.83576321601868, 1.0416431427001953, 486002, 408812, 894814, 131, 0.07041098083156588, 99956, 1943.3866933816942, 1806.5509301656755, 0.0006415209905654695
7092, 137.8837661743164, 1.0480029582977295, 485696, 406810, 892506, 132, 0.07095121853615591, 99956, 1943.360086254931, 1805.4763200806146, 0.0005948407360772956
7146, 138.92933630943298, 1.0455701351165771, 485200, 404825, 890025, 133, 0.07149145624074593, 99956, 1943.299851685654, 1804.370515376221, 0.0006124725603403602
7200, 139.9815218448639, 1.0521855354309082, 484666, 402802, 887468, 134, 0.07203169394533594, 99956, 1943.332360767391, 1803.3508389225271, 0.0005651147838010573
7254, 141.02906346321106, 1.047541618347168, 484216, 400929, 885145, 135, 0.07257193164992597, 99956, 1943.3003953031052, 1802.2713318398942, 0.0005986117949616787
7308, 142.08245515823364, 1.053391695022583, 483915, 399007, 882922, 136, 0.07311216935451599, 99956, 1943.3489173229887, 1801.266462164755, 0.0005575573762877095
7362, 143.12748765945435, 1.0450325012207031, 483458, 397183, 880641, 137, 0.073652407059106, 99956, 1943.283232340182, 1800.1557446807276, 0.0006166314131517137
7416, 144.18266773223877, 1.0551800727844238, 483018, 395354, 878372, 138, 0.07419264476369603, 99956, 1943.3552772173218, 1799.172609485083, 0.0005461389652253734
